ID;TEXTURE;TPBUS;FAMILY;TYPOLOGY;INDUSTRIAL;DESCRIPTOR;MARKETING_NAME;ACTIVES;SPF;FREE_FROM;PACKAGING;SEL;EVENT;COLLECTION;TXT_REPLACE;FORMULATOR;ST_STABILITY;ST_COMPATIBILITY;STAB_BEG_DATE;STAB_END_DATE;COMP_T_BEG_DATE;COMP_T_END_DATE;EFFICACY_TEST;PANEL_TEST;ROW_MAT_SHORTAGE;EXCLUSIVITY;ESCL_CUST;FILLING_TIP;EFF_ACTIVES;VEGAN;MARKETABLE_BULK;ADR;SEMAFORO_INDUSTRIALIZZAZIONE;NATURALITY;RANGE;ST_SAMPLING;ST_SAMPLING_STOCK;ST_SAFETY_TEST;ST_IMERYS_TALC;SEMAFOTO_TALCO_COST;PLANT;ESTIM_REAL_FORM_DATE;ESTIM_TECN_TRANS_DATE;TXT_ATL;SEMAFORO_TEC_TRANSFER;CONSUMER_CLUSTER;LOW_VALUE;MEDIUM_VALUE;HIGH_VALUE
362;Q61;M;FOUNDATION;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);LONG LASTING | LUMINOUS / RADIANT;Skin feeling;Grape seed oil/Haloxyl/ Txt.-15R/ CS09 contains pea exctract;37 Tested;PRESERVATIVES;Tube/pump;H;Cosmoprof 2024;;;Marie Paule Robert;G;G;13-GIU-18;13-GIU-18;04-APR-18;04-LUG-18;;;;;;;;;;;G;;;O;G;G;;;Italy;;;N;G;;14,87;15,32;23,51
389;I08;M;FACE POWDER;GODET;COMPACT POWDER;MAT;Velvet touch;;;GLUTEN | LACTOSE | OGM | PARABENS;Compact ø 59;H;Fall-Winter 2012-2013 | MakeUp in New York 2024;Cruise 2012-13;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;R;;Italy;;;N;G;;;;
395;I37;M;FACE POWDER;GODET;COMPACT POWDER;CREAMY | MAT | WET & DRY;Cult skin;Vitamin E/Friut milk complex;;PARABENS;Aluminium pan;H;;;;;G;G;18-MAR-22;18-MAR-22;18-MAR-22;18-MAR-22;N;;;;;;N;Y;;;G;;;O;G;G;G;;Italy;;;N;G;;5,45;5,89;13,37
391;I02;M;BLUSH | BRONZER | FACE POWDER;GODET;COMPACT POWDER;FROST / PEARLY / SATIN | MAT;Perfect look;;;PARABENS;Compact ø 59;H;MakeUp in New York 2024;;;;G;G;29-NOV-07;29-FEB-08;29-NOV-07;29-FEB-08;N;;;;;;;;;;G;;;O;G;G;O;;Italy;;;N;G;;2,18;4,4;19,24
1993;EM717;M;MULTIUSE;CARE | FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);LONG LASTING | NO TRANSFER | SATIN/PEARLY | WATERPROOF;WITTY;Extract of Imperata Cylindrica root (FUNCTIONAL 3%);;MINERAL OIL | OGM | PARABENS | PARAFFIN | PERFUMES | PHTHALATES | SLS | TALC;airtight is required;O;MakeUp in New York 2021;New Vibes;;;G;G;23-GIU-21;23-SET-21;24-SET-21;24-DIC-21;;;;;;TUBE FILLING;Y;;;;G;;;;;G;G;;Italy;;;N;G;;19;19,06;19,18
1994;LP655;M;BLUSH | LIPSTICK;STICK;ANHYDROUS;DEWY / WET;DEWY POP;marauja oil, Jojoba Ester, Pure Vitamin E;;MINERAL OIL | PARABENS | PARAFFIN | PEG | PERFUMES | PHENOXYETHANOL | PHTHALATES | PRESERVATIVES | SILICONES | SLS | TALC;;H;MakeUp in New York 2021;New Vibes;;;G;G;14-APR-22;14-APR-22;14-APR-22;14-APR-22;;;;;;LIPSTICK POURING SOFT;N;Y;;;G;;;;;G;G;;Italy;;;N;O;;18,01;20,36;21,63
2022;LP515;M;LIPSTICK;HOT POURED;ANHYDROUS (HOT POURED IN MOULD);LUMINOUS / RADIANT | PLUMPING | TRANSPARENT | UNIVERSAL / ALL SKIN TYPES;artistick;Vitamin E;;;;O;Chromaville 2012 | Cosmoprof 2022 | Cosmoprof 2023;Day to play | Post Perfectionism;;;G;G;26-GEN-22;26-GEN-22;26-GEN-22;26-GEN-22;;;;;;;;Y;;;G;;;;;G;G;;Italy;;;N;G;Beauty&Ethics | Hero Believers | Solution Focused;38,56;38,76;45,01
840;PR006;M;FIXER / SETTING | PRIMER;GODET;COMPACT POWDER;TRANSPARENT;Invisible glue;;;PRESERVATIVES | SILICONES;Compact with sponge;H;Chromaville 2012;Long Fidelity;;;G;G;26-OTT-20;26-OTT-20;26-OTT-20;26-OTT-20;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;27,49;0;34,59
791;PW099;M;BRONZER;GODET;COMPACT POWDER;FROST / PEARLY / SATIN | LUMINOUS / RADIANT;Sun glow;Melano bronzer/ Vit. E/ Avocado oil;;;Compact;H;;;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;R;;Italy;;;N;R;;;;
792;MUC001;M;CONCEALER;PENCIL;PENCILS;CREAMY | LUMI-MAT;STOP IMPERFECTIONS!;;;OIL | PRESERVATIVES | SILICONES;;H;Chromaville 2012 | Fall-Winter 2012-2013;Cruise 2012-13 | Make-Mix;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;;;Italy;;;N;R;;4,63;0;0
